Gene	log2FoldChange	pvalue	padj_BH	padj_BO
ENSG00000085449.15_5	-0.903879470970345	7.27041207351284e-10	5.7569115702907e-08	1.44157730593613e-05
ENSG00000124766.6_3	0.563010927786397	7.53001098992575e-10	5.9323556278713e-08	1.49305057908248e-05
ENSG00000178035.12_3	0.495821406436992	8.16275404151513e-10	6.39853267807008e-08	1.61851087135162e-05
ENSG00000115677.17_6	-0.521418440375356	8.23109601034954e-10	6.41984333327212e-08	1.63206171693211e-05
ENSG00000077380.15_4	-0.561471033936375	8.4331114063641e-10	6.54468183223252e-08	1.67211732965387e-05
ENSG00000101400.5_2	-1.17149712188906	8.61699056395448e-10	6.65427900035277e-08	1.70857688902089e-05
ENSG00000167281.19_4	1.65518790740738	9.23975150347368e-10	7.10004353215201e-08	1.83205792810876e-05
ENSG00000075213.11_6	-2.27087817834233	9.4788403470014e-10	7.24806032219975e-08	1.87946446400344e-05
ENSG00000006652.14_5	0.768907821198722	9.71742481363942e-10	7.39424925209567e-08	1.92677099204842e-05
ENSG00000005020.13_4	-0.954941016215579	1.04644265273129e-09	7.90124505529267e-08	2.07488649183561e-05
ENSG00000230699.2_6	1.66281774989986	1.04850165167356e-09	7.90124505529267e-08	2.07896907493833e-05
ENSG00000197496.6_3	-3.24560507986349	1.0808903164198e-09	8.10615771434251e-08	2.14318931939717e-05
ENSG00000136997.18_6	1.22319777455888	1.10078084778661e-09	8.21582796393463e-08	2.1826282649913e-05
ENSG00000101004.15_4	-1.03222820117405	1.12741867780891e-09	8.34009814984153e-08	2.23544575435951e-05
ENSG00000143171.13_3	-3.5171151413243	1.12812405257809e-09	8.34009814984153e-08	2.23684437145184e-05
ENSG00000085872.15_5	0.570447834416165	1.27706181809368e-09	9.39664495303934e-08	2.53215817291616e-05
ENSG00000101109.12_3	-0.655210208824286	1.28418332891617e-09	9.40468344965418e-08	2.54627870457499e-05
ENSG00000105426.16_4	0.833911057050409	1.33960980343567e-09	9.71933642967116e-08	2.65617831825224e-05
ENSG00000273749.5_3	-0.827248946340529	1.3346826360799e-09	9.71933642967116e-08	2.64640873081922e-05
ENSG00000114978.18_3	-0.593938640697111	1.35214573467421e-09	9.76487097925136e-08	2.68103456271202e-05
ENSG00000108773.11_4	0.641351862598111	1.47600859247125e-09	1.06102571585065e-07	2.926629837152e-05
ENSG00000203685.10_6	-2.00910163765112	1.50862778937637e-09	1.07949930671936e-07	2.99130718077547e-05
ENSG00000134824.14_4	-1.07308025641051	1.54298657814722e-09	1.09904327089125e-07	3.0594337871503e-05
ENSG00000103249.18_4	0.892227167413361	1.5774759986613e-09	1.11850218650535e-07	3.12781941014563e-05
ENSG00000151468.11_6	-0.957943990788819	1.69293390535592e-09	1.18955297250662e-07	3.35674934753972e-05
ENSG00000180329.14_5	-0.646990764907285	1.69093738679582e-09	1.18955297250662e-07	3.35279065053875e-05
ENSG00000259495.2_5	-4.1995793291315	1.7064417779663e-09	1.19366750199535e-07	3.38353275735158e-05
ENSG00000175984.15_4	-0.795780308314191	1.98665417300824e-09	1.3834740377123e-07	3.93913789424075e-05
ENSG00000064655.19_6	-2.68723023791474	2.03882317768579e-09	1.41349345549869e-07	4.04257859671538e-05
ENSG00000077713.19_4	-1.28919485070707	2.05490149997276e-09	1.41833665920686e-07	4.07445869414599e-05
ENSG00000185432.12_3	-2.39311137933214	2.08284914205063e-09	1.43129355801092e-07	4.129873278858e-05
ENSG00000146587.18_4	-0.896469026480609	2.27215868824512e-09	1.55453523587437e-07	4.50523624705242e-05
ENSG00000163251.4_3	-0.96900898602345	2.32695590005864e-09	1.58507358449846e-07	4.61388815863628e-05
ENSG00000150054.18_2	-0.938875636321742	2.36170544027584e-09	1.60174970273317e-07	4.68278954697894e-05
ENSG00000261572.1_5	-1.91398254388116	2.40411688482994e-09	1.62345538036633e-07	4.7668829592408e-05
ENSG00000154188.10_4	-3.69767919169096	2.42930777739762e-09	1.63339534567351e-07	4.81683146102399e-05
ENSG00000174669.12_3	0.896369062859909	2.44267842583061e-09	1.63533651349922e-07	4.84334278273694e-05
ENSG00000112246.9_2	-2.23877432417928	2.5115693533006e-09	1.67427223684342e-07	4.97993971372442e-05
ENSG00000143753.13_4	-0.64325149297105	2.52720226048951e-09	1.67427323264145e-07	5.01093664209859e-05
ENSG00000184898.7_4	-2.03181298615475	2.53303726458993e-09	1.67427323264145e-07	5.02250628822891e-05
ENSG00000074054.18_5	-0.568633623163101	2.55197573707717e-09	1.6796738195218e-07	5.06005749147661e-05
ENSG00000101040.19_5	-0.946127514462288	2.67599841514626e-09	1.75390333100279e-07	5.305969657552e-05
ENSG00000175445.16_5	-5.73144521801811	2.90379711003851e-09	1.88929153019966e-07	5.75764890978436e-05
ENSG00000182973.18_4	0.539237354006049	2.90678868676146e-09	1.88929153019966e-07	5.76358060811061e-05
ENSG00000011198.9_5	0.70561392074618	2.94532039010398e-09	1.90639223092249e-07	5.83998126949818e-05
ENSG00000101255.11_4	-1.1682184417348	3.18718587115007e-09	2.05441786793678e-07	6.31955214531637e-05
ENSG00000158427.15_4	-0.940799309085962	3.47253977001824e-09	2.2291418877578e-07	6.88535185599217e-05
ENSG00000125868.16_3	-0.663039795629314	3.49061241918651e-09	2.23155996421682e-07	6.92118630476301e-05
ENSG00000146530.14_5	-2.65607721634785	3.79447987085624e-09	2.41592210226475e-07	7.52369468793374e-05
ENSG00000154678.17_5	-5.66797609350909	3.82328778396424e-09	2.42436854236009e-07	7.58081501804429e-05
ENSG00000132357.14_4	-3.96440628119871	4.12516576047642e-09	2.58427553002698e-07	8.17937866987266e-05
ENSG00000164076.17_4	0.799954529090138	4.11472518800382e-09	2.58427553002698e-07	8.15867710277397e-05
ENSG00000187189.10_3	-0.97486666860876	4.10989160921113e-09	2.58427553002698e-07	8.14909308274382e-05
ENSG00000111057.11_6	-1.14260528442222	4.41006586403952e-09	2.7517046965261e-07	8.74427859521755e-05
ENSG00000154767.14_3	0.570629157451308	4.48555428064169e-09	2.7876558256466e-07	8.89395702765634e-05
ENSG00000143878.9_2	0.943799200012567	4.68352274740052e-09	2.89913775145638e-07	9.28648890354575e-05
